id,family,color,design,slot,source_cells,glb,bytes
tee-white-smile,tee,white,smile,top,A/t-shirts/01,glb/tee-white-smile.glb,647408
tee-black-robot,tee,black,robot,top,A/t-shirts/02,glb/tee-black-robot.glb,586616
tee-ivory-good-days,tee,ivory,good-days,top,A/t-shirts/03,glb/tee-ivory-good-days.glb,883044
tee-green-98,tee,green,98,top,A/t-shirts/04,glb/tee-green-98.glb,504324
tee-blue-double-stripe,tee,blue,double-stripe,top,A/t-shirts/05,glb/tee-blue-double-stripe.glb,388168
tee-black-flame,tee,black,flame,top,A/t-shirts/06,glb/tee-black-flame.glb,564672
hoodie-gray-plain,hoodie,gray,plain,top,A/hoodies/01,glb/hoodie-gray-plain.glb,523592
hoodie-blue-wave,hoodie,blue,wave,top,A/hoodies/02,glb/hoodie-blue-wave.glb,758796
hoodie-purple-butterfly,hoodie,purple,butterfly,top,A/hoodies/03,glb/hoodie-purple-butterfly.glb,723468
hoodie-black-red-butterfly,hoodie,black,red-butterfly,top,A/hoodies/04,glb/hoodie-black-red-butterfly.glb,723548
hoodie-ivory-nyc,hoodie,ivory,nyc,top,A/hoodies/05,glb/hoodie-ivory-nyc.glb,681592
hoodie-green-focus,hoodie,green,focus,top,A/hoodies/06,glb/hoodie-green-focus.glb,812736
cargo-denim-plain,cargo,denim,plain,bottom,A/pants/01;B/pants/01,glb/cargo-denim-plain.glb,194320
cargo-black-plain,cargo,black,plain,bottom,A/pants/02;B/pants/02,glb/cargo-black-plain.glb,194332
cargo-tan-plain,cargo,tan,plain,bottom,A/pants/03;B/pants/04,glb/cargo-tan-plain.glb,194300
cargo-olive-plain,cargo,olive,plain,bottom,A/pants/04;B/pants/03,glb/cargo-olive-plain.glb,194324
cargo-gray-plain,cargo,gray,plain,bottom,A/pants/05;B/pants/05,glb/cargo-gray-plain.glb,194312
cargo-ivory-chain,cargo,ivory,chain,bottom,A/pants/06,glb/cargo-ivory-chain.glb,346708
cargo-black-orange-stitch,cargo,black,orange-stitch,bottom,A/pants/07,glb/cargo-black-orange-stitch.glb,192320
sneaker-red-panel,sneaker,red,panel,shoes,A/sneakers/01;B/sneakers/01,glb/sneaker-red-panel.glb,765512
sneaker-black-panel,sneaker,black,panel,shoes,A/sneakers/02;B/sneakers/02,glb/sneaker-black-panel.glb,765528
sneaker-yellow-panel,sneaker,yellow,panel,shoes,A/sneakers/03,glb/sneaker-yellow-panel.glb,765504
sneaker-blue-panel,sneaker,blue,panel,shoes,A/sneakers/04;B/sneakers/03,glb/sneaker-blue-panel.glb,765512
sneaker-pink-panel,sneaker,pink,panel,shoes,A/sneakers/05;B/sneakers/07,glb/sneaker-pink-panel.glb,765492
sneaker-green-panel,sneaker,green,panel,shoes,A/sneakers/06;B/sneakers/04,glb/sneaker-green-panel.glb,765524
